panel,run,case,implementation,s1,s2,s3,s4,alpha,p00,p01,p10,p11,theory_u1,theory_u2,measured_u1,measured_u2,common_payoff,payoff_asymmetry,squared_distance_to_theory
A,43,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0048828125,0.4951171875,0.4912109375,0.0087890625,0.8,0.8,0.789501953125,0.791064453125,0.790283203125,-0.0015624999999999112,0.00019005298614502113
A,44,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0107421875,0.486328125,0.4931640625,0.009765625,0.8,0.8,0.787646484375,0.784912109375,0.786279296875,0.0027343749999999556,0.0003802537918090856
A,45,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0087890625,0.4931640625,0.4912109375,0.0068359375,0.8,0.8,0.789306640625,0.790087890625,0.789697265625,-0.0007812499999999556,0.000212597846984866
A,46,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0078125,0.50390625,0.4794921875,0.0087890625,0.8,0.8,0.7837890624999999,0.7935546874999999,0.7886718749999999,-0.009765625,0.0003043365478515686
A,47,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0068359375,0.49609375,0.490234375,0.0068359375,0.8,0.8,0.789599609375,0.791943359375,0.790771484375,-0.002343750000000089,0.00017307758331299014
A,48,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.009765625,0.4755859375,0.5048828125,0.009765625,0.8,0.8,0.79267578125,0.78095703125,0.78681640625,0.01171875,0.0004162788391113281
A,49,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.009765625,0.4921875,0.490234375,0.0078125,0.8,0.8,0.78798828125,0.78876953125,0.78837890625,-0.0007812500000000666,0.0002704048156738297
A,50,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0087890625,0.482421875,0.498046875,0.0107421875,0.8,0.8,0.789697265625,0.783447265625,0.786572265625,0.006249999999999978,0.0003801393508911161
A,51,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.00390625,0.4736328125,0.5107421875,0.01171875,0.8,0.8,0.7958984375,0.7810546875,0.7884765625,0.014843750000000044,0.00037574768066406624
A,52,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0107421875,0.5185546875,0.4619140625,0.0087890625,0.8,0.8,0.7757324218749999,0.798388671875,0.7870605468749999,-0.022656250000000044,0.0005915117263794013
A,53,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0078125,0.4931640625,0.4892578125,0.009765625,0.8,0.8,0.787109375,0.7886718749999999,0.787890625,-0.0015624999999999112,0.0002944946289062542
A,54,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0087890625,0.458984375,0.525390625,0.0068359375,0.8,0.8,0.802978515625,0.776416015625,0.789697265625,0.026562500000000044,0.0005650758743286172
A,55,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0107421875,0.5,0.486328125,0.0029296875,0.8,0.8,0.789013671875,0.794482421875,0.791748046875,-0.005468749999999911,0.00015114307403564552
A,56,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0087890625,0.4599609375,0.5224609375,0.0087890625,0.8,0.8,0.8006347656249999,0.775634765625,0.788134765625,0.02499999999999991,0.0005940675735473652
A,57,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.01171875,0.4765625,0.50390625,0.0078125,0.8,0.8,0.7927734375,0.7818359374999999,0.7873046874999999,0.010937500000000044,0.00038215637207031865
A,58,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.009765625,0.4794921875,0.5048828125,0.005859375,0.8,0.8,0.7950195312499999,0.78486328125,0.78994140625,0.010156249999999867,0.00025392532348632947
A,59,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0107421875,0.4736328125,0.5068359375,0.0087890625,0.8,0.8,0.793701171875,0.780419921875,0.787060546875,0.013281250000000022,0.0004230546951293977
A,60,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.005859375,0.505859375,0.4775390625,0.0107421875,0.8,0.8,0.78251953125,0.79384765625,0.7881835937499999,-0.011328125000000022,0.00034341812133789455
A,61,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0126953125,0.4765625,0.50390625,0.0068359375,0.8,0.8,0.793017578125,0.7820800781249999,0.7875488281249999,0.010937500000000044,0.0003698778152465881
